Title,Release year,Genre,Runtime(min),Rating,Votes
Kind Hearts and Coronets,1949,"Comedy, Crime",106,8.0,39226
On the Town,1949,"Comedy, Musical, Romance",98,7.3,18498
Trečiasis asmuo,1949,"Film-Noir, Mystery, Thriller",104,8.1,179133
Twelve O'Clock High,1949,"Drama, War",132,7.7,15548
White Heat,1949,"Action, Crime, Drama",114,8.1,35143
Viskas apie Ievą,1950,Drama,138,8.2,136929
Asfalto džiungles,1950,"Crime, Drama, Film-Noir",112,7.8,29340
Born Yesterday,1950,"Comedy, Drama, Romance",103,7.5,12135
Pelenė,1950,"Animation, Family, Fantasy",74,7.3,171083
D.O.A.,1949,"Crime, Drama, Film-Noir",83,7.2,12853
Father of the Bride,1950,"Comedy, Drama, Romance",92,7.1,12325
The Gunfighter,1950,Western,85,7.7,12245
Harvis,1950,"Comedy, Drama, Fantasy",104,7.9,57642
In a Lonely Place,1950,"Drama, Film-Noir, Mystery",94,7.9,34434
Užmirštieji,1950,"Crime, Drama",85,8.3,21682
Panic in the Streets,1950,"Crime, Drama, Film-Noir",96,7.2,8645
Rasiomonas,1950,"Crime, Drama, Mystery",88,8.2,177301
Rio Grande,1950,"Drama, Romance, Western",105,7.0,17303
Seven Days to Noon,1950,"Drama, Thriller",94,7.0,2141
Saulėlydžio bulvaras,1950,"Drama, Film-Noir",110,8.4,232599
Vinčesteris '73,1950,"Action, Drama, Western",92,7.6,21572
Siera Madrės lobis,1948,"Adventure, Drama, Western",126,8.2,130679
Keršto angelas,1962,"Drama, Fantasy",95,8.0,35018
Viridiana,1961,Drama,91,8.1,25779
Él,1953,"Drama, Romance",92,7.9,6466
Kuklus buržuazijos žavesys,1972,Comedy,102,7.8,45834
Tas niūrus geismo objektas,1977,"Comedy, Drama, Romance",103,7.8,24313
Laisvės šmėkla,1974,Comedy,104,7.8,16935
Simonas Stulpininkas,1965,"Short, Comedy, Drama",43,7.9,10684
Ensayo de un crimen,1955,"Comedy, Crime, Drama",89,7.6,5744
Nazarín,1959,Drama,94,7.8,6332
Dienos gražuole,1967,"Drama, Romance",100,7.7,47948
Tristana,1970,Drama,99,7.4,12619
Kambarinės dienoraštis,1964,"Crime, Drama",97,7.4,9650
La voie lactée,1969,"Comedy, Drama",102,7.4,7993
Amerikietis Paryžiuje,1951,"Drama, Musical, Romance",114,7.2,36179
Alisa stebuklų šalyje,1951,"Animation, Adventure, Comedy",75,7.3,151122
Afrikos karalienė,1951,"Adventure, Drama, Romance",105,7.7,82921
The Day the Earth Stood Still,1951,"Drama, Sci-Fi",92,7.8,84884
Decision Before Dawn,1951,"Drama, War",119,7.2,2929
Journal d'un curé de campagne,1951,Drama,115,7.8,12432
Levanderio kalvos šutve,1951,"Comedy, Crime",78,7.5,15269
The Man in the White Suit,1951,"Comedy, Drama, Sci-Fi",85,7.3,10592
A Face in the Crowd,1957,"Drama, Music",126,8.2,16819
Uoste,1954,"Crime, Drama, Thriller",108,8.1,162046
Geismų tramvajus,1951,Drama,122,7.9,112969
Į rytus nuo Rojaus,1955,Drama,118,7.8,48139
America America,1963,"Adventure, Drama",174,7.7,5880
Splendor in the Grass,1961,"Drama, Romance",124,7.7,22346
Wild River,1960,"Drama, History, Romance",110,7.5,6056
Baby Doll,1956,"Comedy, Drama",114,7.3,8145
Gentleman's Agreement,1947,"Drama, Romance",118,7.2,17490
Dersu Uzala,1975,"Adventure, Biography, Drama",142,8.2,32807
Nesantaika,1985,"Action, Drama, War",160,8.2,133466
Asmens sargybinis,1961,"Action, Drama, Thriller",110,8.2,129131
Paslėpta tvirtovė,1958,"Action, Adventure, Drama",139,8.1,41495
Kruvinas sostas,1957,Drama,110,8.1,54990
Sanjuro,1962,"Action, Drama, Thriller",96,8.0,40415
Kario šešėlis,1980,"Drama, History, War",180,7.9,37605
Warui yatsu hodo yoku nemuru,1960,"Crime, Drama, Thriller",151,8.0,13711
Benamis šuo,1949,"Crime, Drama, Film-Noir",122,7.8,18529
Akiros Kurosavos sapnai,1990,"Drama, Fantasy",119,7.7,28467
Girtas angelas,1948,"Crime, Drama, Romance",98,7.6,13071
Tora! Tora! Tora!,1970,"Action, Drama, History",144,7.5,36634
Rojus ir pragaras,1963,"Crime, Drama, Mystery",143,8.4,50982
Raudonbarzdis,1965,Drama,185,8.3,20634
Gyventi,1952,Drama,143,8.3,85225
Pandora and the Flying Dutchman,1951,"Drama, Fantasy, Mystery",124,6.9,4567
A Place in the Sun,1951,"Drama, Romance",122,7.7,24243
Quo Vadis,1951,"Biography, Drama, Romance",171,7.1,16333
Nepažįstamieji traukinyje,1951,"Crime, Drama, Film-Noir",101,7.9,139264
The Thing from Another World,1951,"Horror, Sci-Fi",87,7.1,32698
The Bad and the Beautiful,1952,"Drama, Romance",118,7.8,16167
The Big Sky,1952,"Adventure, Drama, Western",140,6.9,4673
Fanfan la tulipe,1952,"Adventure, Comedy, Romance",102,7.2,3380
Septynios nuotakos septyniems broliams,1954,"Musical, Romance, Western",102,7.3,26595
Jausmas,1954,"Drama, Romance, War",123,7.4,7396
Sanshô dayû,1954,Drama,124,8.4,17840
Salt of the Earth,1954,"Drama, History",94,7.4,3961
Sabrina,1954,"Comedy, Drama, Romance",113,7.6,69131
Langas į kiemą,1954,"Mystery, Thriller",112,8.5,513463
